2015-01-03	This sense of nuance 	 inform policymaking	http://www.economist.com/news/leaders/21637393-rise-demand-economy-poses-difficult-questions-workers-companies-and	1	1	LEADERS
2015-01-03	But that does not mean they 	 sit on their hands	http://www.economist.com/news/leaders/21637393-rise-demand-economy-poses-difficult-questions-workers-companies-and	1	2	LEADERS
2015-01-03	Too much of the welfare state is delivered through employers, especially pensions and health care: both 	 be tied to the individual and made portable, one area where Obamacare was a big step forward	http://www.economist.com/news/leaders/21637393-rise-demand-economy-poses-difficult-questions-workers-companies-and	1	3	LEADERS
2015-01-03	Although the economy is now growing again, Greek voters remain understandably enraged that GDP 	 have shrunk by almost 20% since 2010 and that unemployment is still as high as 26%	http://www.economist.com/news/leaders/21637334-why-early-election-spells-big-dangers-greeceand-euro-euros-next-crisis	1	4	LEADERS
2015-01-03	Cubans will have more access to the internet, which 	 loosen the regime’s weakening grip on information	http://www.economist.com/news/leaders/21637388-loosening-embargo-will-pay-dividends-far-beyond-cuba-new-normal	1	5	LEADERS
2015-01-03	But the biggest prize 	 be the advance of democracy and open markets in Latin America	http://www.economist.com/news/leaders/21637388-loosening-embargo-will-pay-dividends-far-beyond-cuba-new-normal	1	6	LEADERS
2015-01-03	The new normal Losing the plot Reprints     After a traumatic year of spectacular breaches, including the theft of the details of 83m JPMorgan Chase customers and of 56m credit- and debit-card records from Home Depot, few businesses 	 need reminding of the importance of computer security	http://www.economist.com/news/leaders/21637390-states-should-police-corporate-cyber-security-more-toughlybut-react-breaches-cautiously-losing	1	7	LEADERS
2015-01-03	Databases of passwords and logins, whether of employees or customers, 	 be “hashed and salted” properly—not stored in a folder labelled “Password”	http://www.economist.com/news/leaders/21637390-states-should-police-corporate-cyber-security-more-toughlybut-react-breaches-cautiously-losing	1	8	LEADERS
2015-01-03	But they 	 have to report attacks to the authorities in the same way that they would any other kind of theft or assault	http://www.economist.com/news/leaders/21637390-states-should-police-corporate-cyber-security-more-toughlybut-react-breaches-cautiously-losing	1	9	LEADERS
2015-01-03	John ByromManchester Business School    China's energy * SIR – Regardless of China’s current carbon emission crisis, perhaps we 	 remain sceptical and hesitant of quick growth with regards to China’s “indigenised” nuclear power plant designs (“Promethean perils,” December 6th)	http://www.economist.com/news/letters/21637339-letters	1	10	LETTERS
2015-01-03	No company 	 be reliant on state advertising for its existence	http://www.economist.com/news/letters/21637339-letters	1	11	LETTERS
2015-01-03	Mr Levy’s task 	 become slightly easier in 2016, when, thanks to stalled GDP growth, spending linked to the minimum wage 	http://www.economist.com/news/americas/21637436-mistakes-dilma-rousseff-made-during-her-first-presidential-term-mean-her-second-will-be	1	12	AMERICAS
2015-01-03	Besides, ask sceptics, why 	 Ms Fernández strike a bargain that would bring political benefits mainly to her successor	http://www.economist.com/news/americas/21637438-argentina-may-spurn-chance-settle-its-creditors-lets-not-make-deal	1	13	AMERICAS
2015-01-03	The Tamil National Alliance, an opposition group that is normally at odds with the Sinhala majority, says everyone 	 vote for Mr Sirisena	http://www.economist.com/news/asia/21637432-sri-lanka-prepares-what-could-be-closest-presidential-contest-its-history-down	1	14	ASIA
2015-01-03	Indonesia 	 revive its maritime culture, develop its fishing industry, improve maritime links through things like better ferries and ports, and crack down on illegal fishing and other violations of sovereignty	http://www.economist.com/news/asia/21637451-new-administration-path-prosperity-watery-one-fishing-trips	1	15	ASIA
2015-01-03	Indeed, he said, Indonesia 	 be nothing less than a “world maritime axis” between the Indian Ocean and the Pacific	http://www.economist.com/news/asia/21637451-new-administration-path-prosperity-watery-one-fishing-trips	1	16	ASIA
2015-01-03	Moreover, the president is said to want to decide who 	 be on AK’s list of candidates in the forthcoming election	http://www.economist.com/news/europe/21637417-can-turkeys-past-glories-be-revived-its-grandiose-islamist-president-forward-past	1	17	EUROPE
2015-01-03	Pete Townshend, a musician, has argued that Denmark Street 	 be made into a “heritage zone”	http://www.economist.com/news/britain/21637452-londons-seediest-district-hints-some-ways-capital-changing-so-long-soho	1	18	BRITAIN
2015-01-03	Propst thought workers 	 have standing and sitting desks	http://www.economist.com/news/international/21637359-how-workers-ended-up-cubesand-how-they-could-break-free-inside-box	1	19	INTERNATIONAL
2015-01-03	Four months earlier Britain’s National Institute for Health and Clinical Excellence had decided that Kadcyla 	 not be prescribed routinely on the National Health Service for women with breast cancer, since its list price is around $140,000 a course	http://www.economist.com/news/business/21637387-wave-new-medicines-known-biologics-will-be-good-drugmakers-may-not-be-so-good	1	20	BUSINESS
2015-01-03	Privacy activists and lawyers 	 keep a close eye on it	http://www.economist.com/news/business/21637400-software-senses-how-you-are-feeling-being-pitched-gadget-makers-your-phone-says	1	21	BUSINESS
2015-01-03	The 16th amendment to the constitution introduced an income tax for the first time, and the 17th amendment decreed that senators 	 be elected by popular vote rather than appointed by local legislatures	http://www.economist.com/news/briefing/21637338-todays-tech-billionaires-have-lot-common-previous-generation-capitalist	1	22	BRIEFING
2015-01-10	One is free speech, and whether it 	 have limits, self-imposed or otherwise	http://www.economist.com/news/leaders/21638118-islamists-are-assailing-freedom-speech-vilifying-all-islam-wrong-way-counter	1	1	LEADERS
2015-01-10	Even when a picture or opinion is imprudent or tasteless, unless it directly incites violence it 	 not be banned	http://www.economist.com/news/leaders/21638118-islamists-are-assailing-freedom-speech-vilifying-all-islam-wrong-way-counter	1	2	LEADERS
2015-01-10	If the proper first response to the slaughter was outrage, after considering the argument that Charlie Hebdo made about free speech, the second response 	 be outrage, too	http://www.economist.com/news/leaders/21638118-islamists-are-assailing-freedom-speech-vilifying-all-islam-wrong-way-counter	1	3	LEADERS
2015-01-10	They 	 start by being much more careful about data	http://www.economist.com/news/leaders/21638117-microeconomics-powered-data-shaping-tech-firms-trend-has-lessons-macroeconomics	1	4	LEADERS
